CountryName,CountryCode,IndicatorName,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,GDP per capita,,,,,,,,,,,,,895.5991488082,945.686929859,940.4762989822,1039.4082417666,1095.6556284116,1245.059222951,1283.040985674,1525.517053839,1629.1672902053,1712.5887197834,1934.2856341887,1941.898322683,1939.9541249316,1934.1936343287
Albania,ALB,GDP per capita,2748.6227275163,2011.8417150005,1921.1634197182,2168.8862314203,2413.6632037206,2809.0149080473,3140.0369860398,2865.5075101223,3177.4907858974,3684.9451529961,4045.7520686081,4508.632005921,4785.8809807427,5182.4903673827,5652.6026727677,6199.9127268606,7066.7256445028,7658.4085780881,8769.0943361725,9342.0812456971,9303.9324756695,9640.1445926758,10361.433216136,10412.4417209438,11167.0225730627,11305.4174218566
Algeria,DZA,GDP per capita,6617.7288285964,6592.6291079633,6706.030980879,6575.0450489508,6519.3813236397,6778.6491095607,7061.4019333896,7145.6476893592,7479.1798302958,7727.1891374421,8093.6113554269,8416.6381625007,8911.5533718138,9622.0165516106,10179.0128200641,10975.6986903025,11341.0964378131,11858.6508431211,12186.1646400386,12267.0033980711,12637.381339375,13026.191661295,13452.5526105134,13779.8227384812,14259.0289420825,14687.39020786
American Samoa,ASM,GDP per capita,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,GDP per capita,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GDP per capita,3106.5546251804,3076.2560083974,2836.1292436479,2115.3951005353,2165.0150700445,2366.2840555049,2603.0743432148,2778.7435427398,2918.4514058559,2972.3219381436,3036.5597277301,3131.9958580278,2858.8970687886,2961.9645717967,3256.6537539828,3838.2645717494,4614.5908093565,5613.2321962174,6298.0124397843,6284.27490493,6360.8489801293,6524.4811808409,6758.2780498657,7097.840137926,7317.8340732653,7371.0276562447
Antigua and Barbuda,ATG,GDP per capita,11087.0174694648,11594.5750617968,11766.78311059,12415.4125099762,13141.2021346337,12516.6004050914,13236.8707325167,13732.7668301844,14108.1120666511,14554.4808304526,15312.5664983907,14907.0726348617,15372.5781886274,16426.9243062482,17593.8762368924,19067.0682963067,22040.9136607626,24503.8448722277,24723.1118920226,21671.3757490895,20151.3098656076,19987.9241389288,20956.336421157,21008.1469806563,22157.5816228727,22967.6920024722
Argentina,ARG,GDP per capita,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,GDP per capita,2414.4049260907,2223.4442628549,1347.49100775,1287.9551074968,1419.9927421365,1581.7337897764,1731.8074157987,1840.696008018,2012.3388940948,2123.6132402097,2313.3319457031,2605.7716178735,3007.2193932467,3510.3168080815,3998.1431365046,4716.2432726517,5526.0928057823,6483.5046492608,7097.9121733627,6158.3014523658,6376.2682174205,6803.4829970848,7401.8563976946,7734.7801667997,8099.2083257793,8393.5117858068
Aruba,ABW,GDP per capita,,,,,,,,,,,,,,,,,,,,,,36015.070459561,,,,
