CountryName,CountryCode,IndicatorName,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9000015259,,,,,,,32.9000015259,,,,,,,,,,
Albania,ALB,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0999999046,,,17,,,,,6.5999999046,,,,6.3000001907,,,,,
Algeria,DZA,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,8,,,,,9.1999998093,,,11.3000001907,,,,,5.4000000954,,11.1000003815,,,3.7000000477,,,,,,,3,,
American Samoa,ASM,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,27.5,,,,,,15.6000003815,,,,,,,
Antigua and Barbuda,ATG,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7000000477,,4.6999998093,,,,,,,,,2.2999999523,,,,,,,,,
Armenia,ARM,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7000000477,,2.5999999046,,,,,4.1999998093,,,,,5.3000001907,,,,
Aruba,ABW,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.200000003,,,,,,,
Austria,AUT,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8000001907,,,,14,5.9000000954,,,,,8.3999996185,,,,,,,4.9000000954,
Bahrain,BHR,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,6.3000001907,,,,,,7.5999999046,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Prevalence of underweight,,,,,,,,,,,,,,,,,,63.7999992371,,,66.8000030518,,,,61.5,64.3000030518,63.7000007629,59,61,58,56.7000007629,52.5,53.2999992371,52,42.2999992371,45.4000015259,43.0999984741,40.9000015259,42.7000007629,39.2000007629,39.7999992371,41.2999992371,,,,36.7999992371,,35.0999984741,32.5999984741
Barbados,BRB,Prevalence of underweight,,,,,,,,,,,,,,,,5.3000001907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,
