Date,Value
2016-08-31,150.16
2016-07-31,161.76
2016-06-30,179.87
2016-05-31,168.92
2016-04-30,164.41
2016-03-31,159.14
2016-02-29,159.68
2016-01-31,161.03
2015-12-31,163.95
2015-11-30,166.03
2015-10-31,171.39
2015-09-30,166.01
2015-08-31,162.74
2015-07-31,179.6
2015-06-30,166.72
2015-05-31,166.3
2015-04-30,172.05
2015-03-31,174.23
2015-02-28,173.7
2015-01-31,174.71
2014-12-31,178.67
2014-11-30,178.67
2014-10-31,163.31
2014-09-30,163.06
2014-08-31,176.43
2014-07-31,182.23
2014-06-30,202.56
2014-05-31,216.92
2014-04-30,222.36
2014-03-31,222.33
2014-02-28,209.32
2014-01-31,198.72
2013-12-31,197.5
2013-11-30,199.14
2013-10-31,201.73
2013-09-30,207.41
2013-08-31,234.89
2013-07-31,278.93
2013-06-30,297.06
2013-05-31,295.29
2013-04-30,280.27
2013-03-31,309.49
2013-02-28,302.5
2013-01-31,303.29
2012-12-31,308.72
2012-11-30,321.54
2012-10-31,321.63
2012-09-30,320.72
2012-08-31,332.17
2012-07-31,332.95
2012-06-30,267.23
2012-05-31,268.79
2012-04-30,274.21
2012-03-31,280.66
2012-02-29,279.46
2012-01-31,272.85
2011-12-31,258.44
2011-11-30,274.23
2011-10-31,274.78
2011-09-30,296.21
2011-08-31,310.24
2011-07-31,300.8
2011-06-30,310.46
2011-05-31,308.47
2011-04-30,318.7
2011-03-31,290.36
2011-02-28,293.4
2011-01-31,265.29
2010-12-31,250.63
2010-11-30,238.24
2010-10-31,235.7
2010-09-30,205.84
2010-08-31,175.6
2010-07-31,163.92
2010-06-30,152.87
2010-05-31,163.77
2010-04-30,157.66
2010-03-31,159.01
2010-02-28,161.63
2010-01-31,167.21
2009-12-31,164.58
2009-11-30,171.61
2009-10-31,167.22
2009-09-30,150.57
2009-08-31,152.01
2009-07-31,151.76
2009-06-30,178.83
2009-05-31,180.31
2009-04-30,168.72
2009-03-31,164.52
2009-02-28,163.13
2009-01-31,173.24
2008-12-31,158.16
