Date,Value
2017-12-31,8630.326
2017-11-30,8711.352
2017-10-31,9100.411
2017-09-30,8825.966
2017-08-31,9269.456
2017-07-31,9367.736
2017-06-30,9458.035
2017-05-31,9185.967
2017-04-30,9194.641
2017-03-31,8739.754
2017-02-28,8263.661
2017-01-31,7946.571
2016-12-31,8512.953
2016-11-30,8587.457
2016-10-31,8960.644
2016-09-30,8697.919
2016-08-31,9218.181
2016-07-31,9275.3870968
2016-06-30,9411.6
2016-05-31,9013.516129
2016-04-30,9087.7
2016-03-31,8813.2903226
2016-02-29,8002.3448276
2016-01-31,7757.8064516
2015-12-31,8464.1935484
2015-11-30,8381.3333333
2015-10-31,8764.3548387
2015-09-30,8601.0333333
2015-08-31,8886.7741935
2015-07-31,9090.3225806
2015-06-30,9124.0666667
2015-05-31,8836.7419355
2015-04-30,8863.4
2015-03-31,8400.6129032
2015-02-28,7851.75
2015-01-31,7609.1290323
2014-12-31,8181.4516129
2014-11-30,8093.5666667
2014-10-31,8617.8064516
2014-09-30,8304.1333333
2014-08-31,8742.4516129
2014-07-31,8785.0
2014-06-30,8828.9666667
2014-05-31,8647.5806452
2014-04-30,8598.2666667
2014-03-31,8131.9032258
2014-02-28,7684.5
2014-01-31,7304.6774194
2013-12-31,7787.1612903
2013-11-30,8006.0333333
2013-10-31,8365.1290323
2013-09-30,8086.0666667
2013-08-31,8665.7741935
2013-07-31,8534.516129
2013-06-30,8668.5
2013-05-31,8514.9677419
2013-04-30,8405.3666667
2013-03-31,8081.8709677
2013-02-28,7725.2142857
2013-01-31,7374.4193548
2012-12-31,7705.6774194
2012-11-30,8024.4666667
2012-10-31,8199.0322581
2012-09-30,7966.7
2012-08-31,8547.8387097
2012-07-31,8415.483871
2012-06-30,8684.4666667
2012-05-31,8430.8064516
2012-04-30,8318.9
2012-03-31,8186.6129032
2012-02-29,7541.862069
2012-01-31,7317.2258065
2011-12-31,7890.8064516
2011-11-30,7942.6
2011-10-31,8130.9032258
2011-09-30,8058.8
2011-08-31,8407.1935484
2011-07-31,8397.3225806
2011-06-30,8600.8333333
2011-05-31,8198.2258065
2011-04-30,8310.3
2011-03-31,8077.7419355
2011-02-28,7626.6785714
2011-01-31,7184.6451613
2010-12-31,7772.0
2010-11-30,7988.5333333
2010-10-31,8286.0322581
2010-09-30,8157.0666667
2010-08-31,8527.6774194
2010-07-31,8576.1612903
2010-06-30,8671.9666667
2010-05-31,8303.2580645
2010-04-30,8467.1333333
2010-03-31,8124.4516129
2010-02-28,7534.5714286
2010-01-31,7102.483871
2009-12-31,7734.6451613
2009-11-30,7911.4
2009-10-31,8151.0645161
2009-09-30,8067.8
2009-08-31,8414.1290323
2009-07-31,8549.2258065
2009-06-30,8616.2333333
2009-05-31,8348.1612903
2009-04-30,8382.7
2009-03-31,7981.7096774
2009-02-28,7786.8214286
2009-01-31,7252.9032258
2008-12-31,7816.9677419
2008-11-30,7900.3
2008-10-31,8271.0322581
2008-09-30,7956.7
2008-08-31,8426.7096774
2008-07-31,8456.516129
2008-06-30,8538.4
2008-05-31,8448.0645161
2008-04-30,8423.3
2008-03-31,8153.9677419
2008-02-29,7645.7931034
2008-01-31,7531.2580645
2007-12-31,7756.2580645
2007-11-30,8197.6
2007-10-31,8435.6451613
2007-09-30,8201.6666667
2007-08-31,8754.8709677
2007-07-31,8618.6774194
2007-06-30,8849.1666667
2007-05-31,8633.7419355
2007-04-30,8424.4666667
2007-03-31,8378.7096774
2007-02-28,7829.3214286
2007-01-31,7541.9032258
2006-12-31,8006.7096774
2006-11-30,8178.9
2006-10-31,8321.3225806
2006-09-30,8187.4666667
2006-08-31,8555.7741935
2006-07-31,8498.1290323
2006-06-30,8793.5
2006-05-31,8496.5483871
2006-04-30,8355.5
2006-03-31,8278.8709677
2006-02-28,7883.2142857
2006-01-31,7525.8709677
2005-12-31,7928.6129032
2005-11-30,8101.8666667
2005-10-31,8110.2903226
2005-09-30,8074.6666667
2005-08-31,8558.8064516
2005-07-31,8613.7096774
2005-06-30,8793.8666667
2005-05-31,8473.483871
2005-04-30,8362.0
2005-03-31,8167.1612903
2005-02-28,7856.0714286
2005-01-31,7228.1290323
2004-12-31,7904.1612903
2004-11-30,7993.2
2004-10-31,8209.5483871
2004-09-30,8117.1666667
2004-08-31,8478.5806452
2004-07-31,8579.6451613
2004-06-30,8579.4333333
2004-05-31,8297.9032258
2004-04-30,8365.6
2004-03-31,8109.7741935
2004-02-29,7369.2758621
2004-01-31,7175.8064516
2003-12-31,7694.7741935
2003-11-30,7789.9333333
2003-10-31,8195.0967742
2003-09-30,7915.0333333
2003-08-31,8409.2580645
2003-07-31,8455.0
2003-06-30,8404.8333333
2003-05-31,8169.1612903
2003-04-30,7980.5
2003-03-31,7634.8064516
2003-02-28,7274.1785714
2003-01-31,7049.483871
2002-12-31,7556.7741935
2002-11-30,7688.2666667
2002-10-31,7921.1612903
2002-09-30,7787.5
2002-08-31,8344.0645161
2002-07-31,8270.7096774
2002-06-30,8262.2666667
2002-05-31,8120.8387097
2002-04-30,7907.5333333
2002-03-31,7615.1612903
2002-02-28,7437.0357143
2002-01-31,6942.4193548
2001-12-31,7405.9354839
2001-11-30,7683.7
2001-10-31,7775.8064516
