Date,Value
2017-12-31,8815.1457283
2017-09-30,9157.9557826
2017-06-30,9278.5193077
2017-03-31,8318.4287
2016-12-31,8688.1001848
2016-09-30,9067.8063152
2016-06-30,9169.2087912
2016-03-31,8195.2967033
2015-12-31,8538.3152174
2015-09-30,8862.1847826
2015-06-30,8940.2527473
2015-03-31,7957.2333333
2014-12-31,8299.826087
2014-09-30,8613.8586957
2014-06-30,8691.1208791
2014-03-31,7707.7777778
2013-12-31,8053.2826087
2013-09-30,8432.5108696
2013-06-30,8529.4505495
2013-03-31,7727.2333333
2012-12-31,7975.8695652
2012-09-30,8313.7391304
2012-06-30,8477.5384615
2012-03-31,7684.978022
2011-12-31,7988.5978261
2011-09-30,8290.2608696
2011-06-30,8367.9010989
2011-03-31,7629.7888889
2010-12-31,8015.8152174
2010-09-30,8423.1630435
2010-06-30,8478.8351648
2010-03-31,7588.9222222
2009-12-31,7932.5978261
2009-09-30,8346.7173913
2009-06-30,8447.9230769
2009-03-31,7670.0444444
2008-12-31,7997.1413043
2008-09-30,8283.4891304
2008-06-30,8469.6813187
2008-03-31,7779.8901099
2007-12-31,8129.0978261
2007-09-30,8528.5869565
2007-06-30,8635.7692308
2007-03-31,7919.5555556
2006-12-31,8168.8695652
2006-09-30,8416.25
2006-06-30,8547.9450549
2006-03-31,7896.4111111
2005-12-31,8046.326087
2005-09-30,8419.4347826
2005-06-30,8542.3516484
2005-03-31,7746.9333333
2004-12-31,8036.0978261
2004-09-30,8394.7826087
2004-06-30,8413.032967
2004-03-31,7555.6263736
2003-12-31,7894.3913043
2003-09-30,8263.5108696
2003-06-30,8184.6593407
2003-03-31,7321.0
2002-12-31,7722.4347826
2002-09-30,8137.8586957
2002-06-30,8097.1428571
2002-03-31,7328.0222222
2001-12-31,7621.1413043
2001-09-30,7934.2282609
2001-06-30,7927.1208791
2001-03-31,7146.0888889
2000-12-31,7366.3043478
2000-09-30,7835.5543478
2000-06-30,7836.9450549
2000-03-31,6980.1428571
1999-12-31,7358.173913
1999-09-30,7705.7065217
1999-06-30,7557.7142857
1999-03-31,6731.4333333
1998-12-31,7130.4782609
1998-09-30,7571.173913
1998-06-30,7412.6703297
1998-03-31,6647.3222222
1997-12-31,6858.2934783
1997-09-30,7432.1304348
1997-06-30,7248.6373626
1997-03-31,6511.4222222
1996-12-31,6703.9021739
1996-09-30,7193.076087
1996-06-30,7027.2527473
1996-03-31,6199.989011
1995-12-31,6458.8804348
1995-09-30,6959.4565217
1995-06-30,6837.021978
1995-03-31,6290.2
1994-12-31,6369.8369565
1994-09-30,6851.4565217
1994-06-30,6695.3956044
1994-03-31,5910.5333333
1993-12-31,6162.423913
1993-09-30,6665.6195652
1993-06-30,6528.9230769
1993-03-31,5804.3666667
1992-12-31,6013.2065217
1992-09-30,6546.4891304
1992-06-30,6373.9120879
1992-03-31,5622.3516484
1991-12-31,5770.8695652
1991-09-30,6370.0434783
1991-06-30,6208.0659341
1991-03-31,5447.9555556
1990-12-31,5682.826087
1990-09-30,6205.8913043
1990-06-30,6129.7692308
1990-03-31,5510.3333333
